outcome,control,treated,window,drop_covid,fe,coef,se,ci_lo,ci_hi,p,n_treated_states,n_control_states,n_obs
lemp_leisure_hosp,strict,all,2021-01 start (long),False,twoway,0.017131059597552303,0.0058759365194848544,0.005272939620657223,0.028989179574447382,0.0056756638800710135,22,21,2881
lemp_leisure_hosp,strict,all,2021-01 start (long),False,division x month,0.013325831644956421,0.0073804171823045606,-0.0015684532298192739,0.028220116519732115,0.07815712598328983,22,21,2881
lemp_leisure_hosp,strict,all,2021-01 start (long),True,twoway,0.006525376291350614,0.00472316517821623,-0.003006356934196778,0.016057109516898007,0.17440988118400647,22,21,2623
lemp_leisure_hosp,strict,all,2021-01 start (long),True,division x month,0.006689991577108456,0.006512081308959887,-0.006451920559769479,0.01983190371398639,0.3101502143908408,22,21,2623
lemp_leisure_hosp,strict,legislated,2022-07 start (baseline),False,twoway,0.00690271254390027,0.004753798479110346,-0.0028350022113647344,0.016640427299165275,0.15760432866057061,8,21,1421
lemp_leisure_hosp,strict,legislated,2022-07 start (baseline),False,division x month,0.007775392985578241,0.007161599315056665,-0.006918995035859328,0.022469781007015813,0.28720782917279886,8,21,1421
lemp_leisure_hosp,strict,legislated,2021-01 start (long),False,twoway,0.028070516524692682,0.00716123326718439,0.013401395156130484,0.042739637893254884,0.0005208232139033431,8,21,1943
lemp_leisure_hosp,strict,legislated,2021-01 start (long),False,division x month,0.018645022625413468,0.008585956771255603,0.0010280945089706887,0.036261950741856244,0.03884360700914513,8,21,1943
lemp_leisure_hosp,strict,legislated,2021-01 start (long),True,twoway,0.014642055267290685,0.005272417656021235,0.003841997286169444,0.025442113248411925,0.009673421793724435,8,21,1769
lemp_leisure_hosp,strict,legislated,2021-01 start (long),True,division x month,0.011628330546398566,0.008184724106500263,-0.005165336144290504,0.02842199723708764,0.166840055100552,8,21,1769
lemp_leisure_hosp,strict,indexed,2022-07 start (baseline),False,twoway,-0.0007597105499731074,0.004103675842441532,-0.009099383248794675,0.0075799621488484605,0.8542275876182654,14,21,1715
lemp_leisure_hosp,strict,indexed,2022-07 start (baseline),False,division x month,0.001578320556501044,0.006721681971084843,-0.012097044238260489,0.015253685351262578,0.8158068467351214,14,21,1715
lemp_leisure_hosp,strict,indexed,2021-01 start (long),False,twoway,0.010879941353472155,0.0060762962268952085,-0.001468578290623605,0.023228460997567917,0.08227284571167748,14,21,2345
lemp_leisure_hosp,strict,indexed,2021-01 start (long),False,division x month,0.009759049330309627,0.009644424435037751,-0.00986267971786887,0.029380778378488126,0.31895515361349447,14,21,2345
lemp_leisure_hosp,strict,indexed,2021-01 start (long),True,twoway,0.0018872740193848592,0.0049852743523618685,-0.008244022410644996,0.012018570449414715,0.707361056770097,14,21,2135
lemp_leisure_hosp,strict,indexed,2021-01 start (long),True,division x month,0.0035863234383168015,0.00828330682054875,-0.013266191001556071,0.020438837878189675,0.6678620451490027,14,21,2135
lemp_leisure_hosp,broad,all,2022-07 start (baseline),False,twoway,0.002649830750731317,0.003638376281213471,-0.004682834830051596,0.00998249633151423,0.4702882256929821,22,23,2205
lemp_leisure_hosp,broad,all,2022-07 start (baseline),False,division x month,0.004394889735076051,0.005211725348058076,-0.006108652538306832,0.014898432008458935,0.4036387391977796,22,23,2205
